Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,261B2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,261C2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,261D2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,262B2,Dipterocarp Forest Closed,Cambatong,HINATUAN,SURIGAO DEL SUR
2,262C2,Dipterocarp Forest Closed,Cambatong,HINATUAN,SURIGAO DEL SUR
2,262D2,Dipterocarp Forest Closed,Cambatong,HINATUAN,SURIGAO DEL SUR
2,263B2,Dipterocarp Forest Closed,Kasapa II,LA PAZ,AGUSAN DEL SUR
2,263C2,Dipterocarp Forest Closed,Kasapa II,LA PAZ,AGUSAN DEL SUR
2,263D2,Dipterocarp Forest Closed,Kasapa II,LA PAZ,AGUSAN DEL SUR
2,264B2,Dipterocarp Forest Closed,Maribojoc,SAN BENITO,SURIGAO DEL NORTE
2,264C2,Dipterocarp Forest Closed,Maribojoc,SAN BENITO,SURIGAO DEL NORTE
2,264D2,Dipterocarp Forest Closed,Maribojoc,SAN BENITO,SURIGAO DEL NORTE
2,265B2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,265C2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,265D2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,266B2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,266C2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,266D2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,267B2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
2,267C2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
